ༀ	om 
སྔོན་ལ་གང་འབྱུང་ངེས་པར་ཆ་མི་འཚལ	ngön la gang jung ngepar cha mi tsal
སྔོན་ལས་ཉོན་དབང་གིས་སྲིད་པའི་བཙོན་རར	ngön lé nyön wang gi sipé tsönrar
སྔོན་ལས་དུས་སུ་སྨིན་དེར་གསོལ་བ་འདེབས	ngön lé dü su min der solwa deb
སྔོན་ལས་འཕྲལ་རྐྱེན་ནད་གདོན་བར་ཆད་ཞི	ngön lé tral kyen nedön barché zhi
སྔོན་ལས་ལྷ་སྲིན་འཁྲུགས་པའི་འཕྲལ་རྐྱེན་གྱིས	ngön lé lhasin trukpé tral kyen gyi
སྔོན་སྦྱངས་ལས་འཕྲོ་ཆོས་ལ་སད་པ་ཡིས	ngön jang letro chö la sepa yi
སྔོན་སྨོན་དུས་བབ་ཀྱི་སྟོན་པ	ngön mön dübab kyi tönpa
སྔོན་སྨོན་ལྡན་པའི་སྐྱེས་བུ་བླ་མ་དང	ngön mön denpé kyebu lama dang
སྙད་སྡང་སྲོག་ལ་འཇིགས་པའི་དངངས་སྐྲག་གིས	nyé dang sok la jikpé ngang trak gi
སྙན་ཁུངས་བརྒྱུད་ནས་སེམས་ཀྱི་དཀྱིལ་དུ་བཞག	nyen khung gyü né sem kyi kyil du zhak
སྙན་གྱི་ཐད་ཀར་གཏོད་ཅིང་འཁྲོལ༔	nyen gyi tekar tö ching trol
སྙན་གྲགས་གཡུ་འབྲུག་འུ་རུ་རུ	nyendrak yu druk u ru ru
སྙན་གྲགས་ང་རོས་སྲིད་གསུམ་རལ་སྙམ་བྱས	nyendrak ngarö si sum ral nyam jé
སྙན་གྲགས་ཆེ་ཡང་རྒྱུད་ལ་ཉམས་རྟོགས་མེད	nyendrak ché yang gyü la nyamtok mé
སྙན་གྲགས་ཆེན་པོ་ནམ་མཁའ་བཞིན་དུ་ཁྱབ	nyendrak chenpo namkha zhindu khyab
སྙན་གྲགས་དུང་དང་ཕུན་ཚོགས་དཔལ་བེའུ	nyendrak dung dang püntsok pal be'u
སྙན་གྲགས་རླུང་རྟ་རྒྱས་པ་དང	nyendrak lungta gyepa dang
སྙན་ཆ་གདུ་བུ་ཀྱི་ལི་ལི༔	nyen cha dubu kyilili
སྙན་ཆ་གདུ་བུས་སྒེག་ཅིང་རྒྱན་རྣམས་འཆང་བ་པོ	nyencha dubü gek ching gyen nam chang wa po
སྙན་དང་གྲགས་པས་རྒྱལ་ཁམས་ཀུན་ཏུ་གང	nyen dang drakpé gyalkham küntu gang
སྙན་དང་མི་སྙན་འཛིན་པའི་སྒྲ་རྣམས་ཀུན༔	nyen dang mi nyen dzinpé dra nam kün
སྙན་པའི་ཀླུ་ཡིས་འཁོར་བར་དགྱེས་པར་སྐྱེད༔	nyenpé lu yi khorwar gyepar kyé
སྙན་པའི་གདངས་ཀྱིས་དགའ་བའི་གླུ་ལེན་པ	nyenpé dang kyi gawé lu lenpa
སྙན་པའི་གྲགས་པས་འཛིན་མའི་ཁྱོན་ཀུན་ཁྱབ	nyenpé drakpé dzinmé khyön künkhyab
སྙན་པའི་གླུ་དབྱངས་ལེན་པའི་བཀྲ་ཤིས་ཤོག	nyenpé luyang lenpé tashi shok
སྙན་པའི་གླུ་ཡི་འགྱུར་ཁུག	nyenpé lu yi gyur khuk
སྙན་པའི་དར་ཆེན་སྲིད་པ་གསུམ་ན་མཐོ	nyenpé dar chen sipa sum na to
སྙན་པའི་དར་ཕྱོར་ཅིག	nyenpé dar chor chik
སྙན་པའི་བ་དན་ཆེན་པོ	nyenpé baden chenpo
སྙན་པའི་སྒྲ་དབྱངས་བརྒྱ་ལྡན	nyenpé dra yang gya den
སྙན་པས་ས་ཁྱབ་ཆེ་དགུའི་རྩེར་སོན་ཀྱང	nyenpé sa khyab chegü tser sön kyang
སྙན་པས་ས་ཁྱབ་ཆེ་དགུའི་རྩེར་སོན་ཀྱང་	nyenpé sa khyab chegü tser sön kyang
སྙན་པས་ས་གསུམ་ཁྱོན་ཀུན་ཡོངས་གང་བའི	nyenpé sa sum khyön kün yong gangwé
སྙན་པས་ས་སྟེང་ཁྱབ་ལ་ཕྱག་འཚལ་བསྟོད	nyenpé sateng khyab la chaktsal tö
སྙན་བརྒྱུད་གདམས་པའི་གཏེར་ལ་དབང་འབྱོར་ཞིང	nyengyü dampé ter la wangjor zhing
སྙན་བརྒྱུད་ཐོས་གྲོལ་ཆེན་པོའི་ཐུགས་དམ་བསྐང་༔	nyengyü tödrol chenpö tukdam kang
སྙན་བརྒྱུད་ཐོས་གྲོལ་ཆེན་པོའི་དབང་ཐོབ་པ	nyengyü tödrol chenpö wangtobpa
སྙན་བརྒྱུད་བཀའ་བབས་པདྨ་མདོ་སྔགས་གླིང	nyengyü kabab pema dongak ling
སྙན་བརྒྱུད་བསྟན་པ་རིན་ཆེན་གསལ་མཛད་ཅིང	nyengyü tenpa rinchen sal dzé ching
སྙན་བརྒྱུད་བསྟན་པའི་སྲོག་ཤིང་རྫོང་པ་རྗེ	nyengyü tenpé sokshing dzongpa jé
སྙན་བརྒྱུད་བྱིན་ཐོབ་པདྨ་མདོ་སྔགས་གླིང	nyengyü jin tob pema do ngak ling
སྙན་བརྒྱུད་བྱིན་ཐོབ་པདྨ་མདོ་སྔགས་གླིང༌	nyengyü jin tob pema do ngak ling
སྙན་བརྒྱུད་མན་ངག་སྙིང་པོ་མཐར་ཐུག་པ	nyengyü mengak nyingpo tartukpa
སྙན་བརྒྱུད་ཡིད་བཞིན་ནོར་བུའི་རྫོགས་རིམ་དང	nyengyü yizhin norbü dzokrim dang
སྙན་བརྒྱུད་རྒྱ༷་མཚོ༷འི་བདག་པོར་གསོལ་བ་འདེབས	nyengyü gyatsö dakpor solwa deb
སྙན་བརྒྱུད་སྐུ་གསུང་ཐུགས་ཀྱི་གསང་སྒོ་ཕྱེས	nyengyü ku sung tuk kyi sang go ché
སྙན་བརྒྱུད་སྨར་བ་སྙིང་འདྲའི་མན་ངག་ནི	nyengyü marwa nying dré mengak ni
སྙན་ཞུ་གསང་གོས་ཕོད་བེར་གསོལ	nyen zhu sang gö pö ber sol
སྙན་འགྱུར་གདུང་བའི་དབྱངས་ཀྱིས་གསོལ་འདེབས་ན	nyen gyur dungwé yang kyi soldeb na
སྙན་འགྱུར་གདུང་བའི་དབྱངས་ཀྱིས་ཉིན་མཚན་དུ་འབོད་ན	nyen gyur dungwé yang kyi nyintsen du bö na
སྙན་འགྱུར་མགྲིན་པའི་རྫ་རྔ་ལས	nyen gyur drinpé dza nga lé
སྙན་འགྱུར་རྩོམ་པའི་དབྱངས་རྔ་འབུམ་ལྡིར་བ	nyen gyur tsompé yang nga bum dirwa
སྙན་འགྱུར་རྫ་རྔའི་སྒྲ་སྒྲོགས་ན་ཆུང་མ	nyen gyur dzangé dra drok nachungma
སྙན་རྒྱུད་གདམས་པའི་མཛོད་འཛིན་ཐུགས་ཀྱི་སྲས	nyen gyü dampé dzö dzin tuk kyi sé
སྙན་རྒྱུད་བེ་བུམ་སྔས་སུ་བཅུག	nyen gyü bé bum ngé su chuk
སྙན་སྙན་གསུང་གི་ཆོས་སྒྲ་རྣ་བར་སྒྲོགས	nyen nyen sung gi chö dra nawar drok
སྙན་སྙན་ཚངས་གསུང་པི་ཝཾ་སྒྲ་དང་འགྲོགས	nyen nyen tsang sung piwam dra dang drok
སྙམ	zȵam
སྙམ	ȵam˥˥
སྙི་སྒོམ་ཆེན༵་པོ༵འི་ཞབས་ལ་གསོལ་བ་འདེབས	nyi gom
སྙིགས་དུས་གཟའ་ཀླུ་རྒྱལ་བསེན་འདུལ་བའི་གཉེན	nyikdü za lugyal sen dulwé nyen
སྙིགས་དུས་གྲུབ་པ་ཡོངས་ཀྱི་འཁོར་ལོས་བསྒྱུར	nyikdü drubpa yong kyi khorlö gyur
སྙིགས་དུས་ངུར་སྨྲིག་འཛིན་པའི་ཁྱུ་མཆོག་ཆེ	nyikdü ngurmik dzinpé khyuchok ché
སྙིགས་དུས་ཐུབ་དབང་གཉིས་པ་ཀུན་དགའ་བཟང	nyikdü tubwang nyipa kün ga zang
སྙིགས་དུས་དམ་སྲི་རྒྱལ་འགོང་ཀུན་གྱི་གཤེད	nyikdü damsi gyalgong kün gyi shé
སྙིགས་དུས་ཕྱི་ནང་ཉེས་པ་དུ་མས་མནར	nyikdü chinang nyepa dumé nar
སྙིགས་དུས་བདག་བློའི་མུན་པ་སེལ་བའི་གཉེན	nyikdü dak lö münpa selwé nyen
སྙིགས་དུས་བཤད་སྒྲུབ་རྒྱལ༵་མཚ༵ན་ལྷུར་མཛད་པ	nyikdü shedrub gyaltsen lhur dzepa
སྙིགས་དུས་བསྟན་དང་འགྲོ་བ་མཐའ་དག་ལ	nyikdü ten dang drowa tadak la
སྙིགས་དུས་བསྟན་པ་རིན་ཆེན་ཉམས་དམས་པར	nyikdü tenpa rinchen nyam mepar
སྙིགས་དུས་བསྟན་པའི་སྲོག་ཤིང་ཀུན་བློའི་ཞབས	nyikdü tenpé sokshing künlö zhab
སྙིགས་དུས་བསྟན་འགྲོ་མཐའ་དག་གི་སྐྱབས་གཅིག	nyikdü ten dro tadak gi kyab chik
སྙིགས་དུས་བསྟན་འགྲོ་སྐྱོབ་པའི་དཔལ་མགོན་དུ	nyikdü ten dro kyobpé palgön du
སྙིགས་དུས་བསྟན་འགྲོ་སྐྱོབ་པའི་དཔུང་གཉེན་དུ	nyikdü ten dro kyobpé pungnyen du
སྙིགས་དུས་བསྟན་འགྲོ་སྐྱོབས་པའི་དཔུང་གཉེན་མཆོག	nyikdü ten dro kyobpé pungnyen chok
སྙིགས་དུས་བསྟན་འགྲོའི་མགོན་དུ་འཕོས་པ་ལས	nyikdü ten drö gön du pöpa lé
སྙིགས་དུས་བསྟན་འགྲོའི་སྐྱབས་གཅིག་མཁྱེན་བརྩེའི་དབང	nyikdü ten drö kyab chik khyentsé wang
སྙིགས་དུས་མ་རུངས་དམ་སྲི་འདུལ་བའི་གཤེད	nyikdü marung damsi dulwé shé
སྙིགས་དུས་འགྲོ་བ་མགོན་མེད་སྐྱབས་གཅིག་པུ	nyikdü drowa gönmé kyab chikpu
སྙིགས་དུས་འགྲོ་བ་འདུལ་བའི་ཕྲིན་ལས་ཅན	nyikdü drowa dulwé trinlé chen
སྙིགས་དུས་འགྲོ་བ་རྣམས་ཀྱི་མགོན་ཉིད་དུ	nyikdü drowa nam kyi gön nyi du
སྙིགས་དུས་འགྲོ་འདུལ་རྒྱལ་བའི་ཕྲིན་ལས་པ	nyikdü drodul gyalwé trinlé pa
སྙིགས་དུས་འགྲོ་རྣམས་བསམ་སྦྱོར་ལོག་པ་དང	nyikdü dro nam samjor lokpa dang
སྙིགས་དུས་འདྲེན་པའི་རྒྱལ་ཚབ་རིག་པ་འཛིན	nyikdü drenpé gyaltsab rigpa dzin
སྙིགས་དུས་འབྱུང་པོ་འདུལ་བའི་གཤེད་དུ་གྱུར	nyikdü jungpo dulwé shé du gyur
སྙིགས་དུས་རྒྱལ་བའི་དབང་པོ་ཀློང་ཆེན་དང	nyik dü gyalwé wangpo longchen dang
སྙིགས་དུས་རྒྱལ་འགོང་ཤི་འདྲེ་དམ་སྲིའི་ཚོགས	nyikdü gyalgong shi dré damsi tsok
སྙིགས་དུས་རྡོ་རྗེ་འཛིན་པ་ཀུན་གྱི་རྒྱལ	nyikdü dorjé dzinpa kün gyi gyal
སྙིགས་དུས་སྐྱབས་གཅིག་མཚོ་སྐྱེས་རྡོ་རྗེ་འཆང	nyikdü kyab chik tsokyé dorjé chang
སྙིགས་དུས་སྐྱབས་གཅིག་མཚོ་སྐྱེས་རྡོ་རྗེ་འཆང༌	nyikdü kyab chik tsokyé dorjé chang
སྙིགས་དུས་སྨག་གིས་རྒྱལ་བསྟན་སྣང་བ་འགྲིབ	nyikdü mak gi gyalten nangwa drib
སྙིགས་མ་ལྔ་བདོའི་གདུལ་བྱ་སྐྱོང་བར་མཛད	nyikma nga dö dulja kyongwar dzé
སྙིགས་མ་ལྔ་བདོའི་མཐའ་ལ་ཐུག་པ་ཡི	dani tukjé pa tsön rab kyé dé
སྙིགས་མ་ལྔ་བདོའི་མཐའ་ལ་ཐུག་པའི་ཚེ	nyikma nga dö ta la tukpé tsé
སྙིགས་མ་ལྔ་བདོའི་འགྲོ་ལ་ཐུགས་རྗེས་གཟིགས	nyikma nga dö dro la tukjé zik
སྙིགས་མ་ལྔ་བདོའི་འགྲོ་ལ་ལྷག་པར་བརྩེ	nyikma nga dö dro la lhakpar tsé
སྙིགས་མ་ལྔ་ཡི་མཐར་སྐྱེས་ཤིང	nyikma nga yi tar kyé shing
སྙིགས་མ་ལྔ་ལྡན་དུས་ཀྱི་ཐ་མ་འདིར	nyikma ngaden dü kyi tama dir
སྙིགས་མ་ལྔའི་སེམས་ཅན་ཐུགས་ཀྱིས་བཟུང༔	nyikma ngé semchen tuk kyi zung
སྙིགས་མའི་དུས་ཀྱི་རྒྱལ་བ་རྡོ་རྗེ་འཆང	nyikmé dü kyi gyalwa dorjé chang
སྙིགས་མའི་དུས་འདིར་རྒྱལ་བསྟན་རིན་པོ་ཆེ	nyikmé dü dir gyalten rinpoche
སྙིགས་མའི་བོད་འབངས་རྣམས་ལ་ཐུགས་རྗེའི་གཟིགས	nyikmé bö bang nam la tukjé zik
སྙིགས་མའི་མགོན་པོ་དེ་བཞིན་གཤེགས་པ་བརྒྱད	nyikmé gönpo dezhin shekpa gyé
སྙིགས་མའི་མུན་སེལ་ཕྲིན་ལས་འཛམ་གླིང་ཀུན་ཁྱབ་བརྡལ	nyikmé münsel trinlé dzamling künkhyab dal
སྙིགས་མའི་འགྲོ་བ་ཡོངས་ཀྱི་སྐྱབས་གནས་མཆོག	nyikmé drowa yong kyi kyab né chok
སྙིགས་མའི་འགྲོ་འདུལ་མཛད་པ་བསམ་མི་ཁྱབ	nyikmé drodul dzepa sam mikhyab
སྙིགས་མའི་འདྲེན་པ་ཟླ་མེད་སྣང་བར་གྱུར	nyikmé drenpa damé nangwar gyur
སྙིགས་མའི་རྒུད་པ་མཐའ་དག་གཏན་དུ་བསྙིལ	nyikmé güpa tadak tendu nyil
སྙིགས་མའི་རྒུད་པས་གཙེས་པའི་བོད་འབངས་རྣམས	nyikmé güpé tsepé bö bang nam
སྙིགས་མའི་རྒུད་ཞི་ཕན་བདེའི་དཔལ་སྤྱོད་པའི	nyikmé gü zhi pendé pal chöpé
